Movie name,Year_of_Release,Watch_Time,Genre,Movie_Rating,Metascore of movie,Votes,Gross,Description
Saving Private Ryan,1998,169 min,"Drama,War",8.6,91        ,"1,416,785",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Cidade de Deus,2002,130 min,"Crime,Drama",8.6,79        ,"767,931",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
La vita è bella,1997,116 min,"Comedy,Drama,Romance",8.6,59        ,"707,995",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
Shichinin no samurai,1954,207 min,"Action,Drama",8.6,98        ,"351,443",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
It's a Wonderful Life,1946,130 min,"Drama,Family,Fantasy",8.6,89        ,"470,268",#20,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Seppuku,1962,133 min,"Action,Drama,Mystery",8.6,85        ,"60,314",#45,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Sita Ramam,2022,163 min,"Action,Drama,Mystery",8.6,NA,"58,742",NA,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
Gladiator,2000,155 min,"Action,Adventure,Drama",8.5,67        ,"1,528,365",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Whiplash,2014,106 min,"Drama,Music",8.5,89        ,"896,150",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Gisaengchung,2019,132 min,"Drama,Thriller",8.5,96        ,"844,511",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
