Movie name,Year_of_Release,Watch_Time,Genre,Movie_Rating,Metascore of movie,Votes,Gross,Description
Catch Me If You Can,2002,141 min,"Biography,Crime,Drama",8.1,75        ,"1,013,795",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action,Adventure,Fantasy",8.1,63        ,"1,148,237",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure,Family,Fantasy",8.1,85        ,"895,933",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Blade Runner,1982,117 min,"Action,Drama,Sci-Fi",8.1,84        ,"784,372",$32.87M,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
The Exorcist,1973,122 min,Horror,8.1,81        ,"418,654",$232.91M,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
Stand by Me,1986,89 min,"Adventure,Drama",8.1,75        ,"414,957",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Rocky,1976,120 min,"Drama,Sport",8.1,70        ,"595,140",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Hacksaw Ridge,2016,139 min,"Biography,Drama,History",8.1,71        ,"545,006",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The Terminator,1984,107 min,"Action,Sci-Fi",8.1,84        ,"881,599",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
Jaws,1975,124 min,"Adventure,Mystery,Thriller",8.1,87        ,"620,405",$260.00M,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Ah-ga-ssi,2016,145 min,"Drama,Romance,Thriller",8.1,84        ,"155,450",$2.01M,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Ford v Ferrari,2019,152 min,"Action,Biography,Drama",8.1,81        ,"413,068",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Logan,2017,137 min,"Action,Drama,Sci-Fi",8.1,77        ,"782,528",$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Ratatouille,2007,111 min,"Animation,Adventure,Comedy",8.1,96        ,"760,552",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
The Wizard of Oz,1939,102 min,"Adventure,Family,Fantasy",8.1,92        ,"408,552",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy,Crime,Drama",8.1,88        ,"523,081",$54.51M,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Trainspotting,1996,93 min,Drama,8.1,83        ,"698,612",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Dead Poets Society,1989,128 min,"Comedy,Drama",8.1,79        ,"506,296",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Fargo,1996,98 min,"Crime,Thriller",8.1,86        ,"690,022",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Inside Out,I 2015,95 min,"Animation,Adventure,Comedy",8.1,94        ,"731,785",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
How to Train Your Dragon,2010,98 min,"Animation,Action,Adventure",8.1,75        ,"757,178",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"Lock, Stock and Two Smoking Barrels",1998,107 min,"Action,Comedy,Crime",8.1,66        ,"592,923",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
Before Sunrise,1995,101 min,"Drama,Romance",8.1,77        ,"318,340",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Into the Wild,2007,148 min,"Adventure,Biography,Drama",8.1,73        ,"632,967",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Gran Torino,2008,116 min,Drama,8.1,72        ,"786,866",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
Room,I 2015,118 min,"Drama,Thriller",8.1,86        ,"429,853",$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
Salinui chueok,2003,131 min,"Crime,Drama,Mystery",8.1,82        ,"193,859",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Spotlight,I 2015,129 min,"Biography,Crime,Drama",8.1,93        ,"480,093",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
"Monsters, Inc.",2001,92 min,"Animation,Adventure,Comedy",8.1,79        ,"927,433",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
The Deer Hunter,1978,183 min,"Drama,War",8.1,86        ,"345,505",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
12 Years a Slave,2013,134 min,"Biography,Drama,History",8.1,96        ,"713,262",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Platoon,1986,120 min,"Drama,War",8.1,92        ,"421,796",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Raging Bull,1980,129 min,"Biography,Drama,Sport",8.1,90        ,"361,387",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Cool Hand Luke,1967,127 min,"Crime,Drama",8.1,92        ,"180,898",$16.22M,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Million Dollar Baby,2004,132 min,"Drama,Sport",8.1,86        ,"697,717",$100.49M,A determined woman works with a hardened boxing trainer to become a professional.
Portrait de la jeune fille en feu,2019,122 min,"Drama,Romance",8.1,95        ,"97,839",$3.76M,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Rush,I 2013,123 min,"Action,Biography,Drama",8.1,74        ,"489,034",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Fa Yeung Nin Wah,2000,98 min,"Drama,Romance",8.1,87        ,"155,760",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Barry Lyndon,1975,185 min,"Adventure,Drama,War",8.1,89        ,"172,860",#189,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
La haine,1995,98 min,"Crime,Drama",8.1,NA,"179,993",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Tonari no Totoro,1988,86 min,"Animation,Comedy,Family",8.1,86        ,"350,115",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Hachi: A Dog's Tale,2009,93 min,"Biography,Drama,Family",8.1,NA,"293,277",#233,A college professor bonds with an abandoned dog he takes into his home.
Before Sunset,2004,80 min,"Drama,Romance",8.1,90        ,"272,253",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Relatos salvajes,2014,122 min,"Comedy,Drama,Thriller",8.1,77        ,"204,016",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
White Heat,1949,114 min,"Action,Crime,Drama",8.1,NA,"34,133",NA,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
Stalker,1979,162 min,"Drama,Sci-Fi",8.1,83        ,"137,788",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Koe no katachi,2016,130 min,"Animation,Drama",8.1,78        ,"88,114",NA,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Network,1976,121 min,Drama,8.1,83        ,"162,796",#220,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
Det sjunde inseglet,1957,96 min,"Drama,Fantasy",8.1,88        ,"189,082",#201,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
"Paris, Texas",1984,145 min,Drama,8.1,81        ,"109,955",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
All Quiet on the Western Front,1930,152 min,"Drama,War",8.1,91        ,"65,258",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
The Bridge on the River Kwai,1957,161 min,"Adventure,Drama,War",8.1,87        ,"224,862",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
The Iron Giant,1999,86 min,"Animation,Action,Adventure",8.1,85        ,"207,203",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
On the Waterfront,1954,108 min,"Crime,Drama,Thriller",8.1,91        ,"158,004",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
In the Name of the Father,1993,133 min,"Biography,Crime,Drama",8.1,84        ,"179,159",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Amores perros,2000,154 min,"Drama,Thriller",8.1,83        ,"244,672",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Persona,1966,85 min,"Drama,Thriller",8.1,86        ,"122,892",#244,A nurse is put in charge of a mute actress and finds that their personae are melding together.
Hotel Rwanda,2004,121 min,"Biography,Drama,History",8.1,79        ,"360,910",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Rebecca,1940,130 min,"Drama,Film-Noir,Mystery",8.1,86        ,"140,285",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
The Third Man,1949,104 min,"Film-Noir,Mystery,Thriller",8.1,97        ,"174,814",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
The Man Who Shot Liberty Valance,1962,123 min,"Drama,Western",8.1,94        ,"78,619",NA,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
The Best Years of Our Lives,1946,170 min,"Drama,Romance,War",8.1,93        ,"66,745",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
Yi yi,2000,173 min,"Drama,Romance",8.1,94        ,"26,006",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
Festen,1998,105 min,Drama,8.1,82        ,"89,607",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
Paper Moon,1973,102 min,"Comedy,Crime,Drama",8.1,77        ,"49,435",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,"Animation,Action,Drama",8.1,NA,"58,002",NA,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
Mary and Max.,2009,92 min,"Animation,Comedy,Drama",8.1,NA,"180,209",#200,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
Trois couleurs: Rouge,1994,99 min,"Drama,Mystery,Romance",8.1,100        ,"105,906",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
The Message,1976,177 min,"Biography,Drama,History",8.1,NA,"48,859",NA,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
Les quatre cents coups,1959,99 min,"Crime,Drama",8.1,NA,"121,510",#242,"A young boy, left without attention, delves into a life of petty crime."
It Happened One Night,1934,105 min,"Comedy,Romance",8.1,87        ,"106,795",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
The Grapes of Wrath,1940,129 min,Drama,8.1,96        ,"95,731",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Masaan,2015,109 min,Drama,8.1,NA,"29,147",NA,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
PK,2014,153 min,"Comedy,Drama,Sci-Fi",8.1,NA,"192,304",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
Smultronstället,1957,91 min,"Drama,Romance",8.1,88        ,"109,554",#187,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
The Red Shoes,1948,135 min,"Drama,Music,Romance",8.1,NA,"36,609",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
A Woman Under the Influence,1974,155 min,"Drama,Romance",8.1,88        ,"26,566",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
The General,1926,67 min,"Action,Adventure,Comedy",8.1,NA,"93,503",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Ba wang bie ji,1993,171 min,"Drama,Music,Romance",8.1,83        ,"30,625",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
Fanny och Alexander,1982,188 min,Drama,8.1,100        ,"65,275",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
Bajrangi Bhaijaan,2015,163 min,"Action,Adventure,Comedy",8.1,NA,"91,385",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
Andrei Rublev,1966,205 min,"Biography,Drama,History",8.1,NA,"54,977",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
Underground,1995,170 min,"Comedy,Drama,Fantasy",8.1,79        ,"59,490",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
Inherit the Wind,1960,128 min,"Biography,Drama,History",8.1,75        ,"31,276",NA,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
Kis Uykusu,2014,196 min,Drama,8.1,88        ,"52,904",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
Mr. Smith Goes to Washington,1939,129 min,"Comedy,Drama",8.1,73        ,"117,263",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
La battaglia di Algeri,1966,121 min,"Drama,War",8.1,96        ,"62,084",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Kakushi-toride no san-akunin,1958,139 min,"Action,Adventure,Drama",8.1,89        ,"40,284",NA,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
Ôkami kodomo no Ame to Yuki,2012,117 min,"Animation,Drama,Family",8.1,71        ,"46,604",NA,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Sunrise: A Song of Two Humans,1927,94 min,"Drama,Romance",8.1,95        ,"52,177",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
Lagaan: Once Upon a Time in India,2001,224 min,"Drama,Musical,Sport",8.1,84        ,"116,625",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
Le notti di Cabiria,1957,110 min,Drama,8.1,NA,"50,222",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
Les diaboliques,1955,117 min,"Crime,Drama,Horror",8.1,NA,"67,177",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
The Gold Rush,1925,95 min,"Adventure,Comedy,Drama",8.1,NA,"113,461",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Dil Chahta Hai,2001,183 min,"Comedy,Drama,Romance",8.1,NA,"73,592",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
Kumonosu-jô,1957,110 min,Drama,8.1,NA,"53,621",NA,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
Jungfrukällan,1960,89 min,Drama,8.1,NA,"30,265",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
Höstsonaten,1978,99 min,"Drama,Music",8.1,NA,"35,671",NA,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
Barfi!,2012,151 min,"Comedy,Drama,Romance",8.1,NA,"83,757",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
Queen,2013,146 min,"Adventure,Comedy,Drama",8.1,NA,"66,885",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
Da hong denglong gaogao gua,1991,125 min,"Drama,Romance",8.1,NA,"33,791",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
A Wednesday,2008,104 min,"Action,Crime,Drama",8.1,NA,"80,018",NA,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
Dom za vesanje,1988,142 min,"Comedy,Crime,Drama",8.1,NA,"31,589",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
Mandariinid,2013,87 min,"Drama,War",8.1,73        ,"47,388",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
Ace in the Hole,1951,111 min,"Drama,Film-Noir",8.1,72        ,"37,261",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
Jean de Florette,1986,120 min,"Comedy,Drama",8.1,NA,"26,567",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
Rang De Basanti,2006,167 min,"Comedy,Crime,Drama",8.1,NA,"120,249",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Talvar,2015,132 min,"Crime,Drama,Mystery",8.1,NA,"36,325",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
La Grande Illusion,1937,113 min,"Drama,War",8.1,NA,"37,548",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
Chak De! India,2007,153 min,"Drama,Family,Sport",8.1,68        ,"82,026",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
Du rififi chez les hommes,1955,118 min,"Crime,Drama,Thriller",8.1,97        ,"35,469",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
The Circus,1928,72 min,"Comedy,Family,Romance",8.1,90        ,"34,717",NA,The Tramp finds work and the girl of his dreams at a circus.
Pink,III 2016,136 min,"Crime,Drama,Thriller",8.1,NA,"46,287",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
Article 15,2019,130 min,"Crime,Drama,Mystery",8.1,NA,"34,954",NA,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
Sholay,1975,204 min,"Action,Adventure,Comedy",8.1,NA,"56,918",NA,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
Munna Bhai M.B.B.S.,2003,156 min,"Comedy,Drama",8.1,NA,"84,224",NA,A gangster sets out to fulfill his father's dream of becoming a doctor.
Udaan,2010,134 min,Drama,8.1,NA,"45,762",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
Kahaani,2012,122 min,"Mystery,Thriller",8.1,NA,"63,879",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
Eskiya,1996,128 min,"Crime,Drama,Thriller",8.1,NA,"70,754",NA,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
Hera Pheri,2000,156 min,"Action,Comedy,Crime",8.1,NA,"69,118",NA,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
OMG: Oh My God!,2012,125 min,"Comedy,Drama,Fantasy",8.1,NA,"60,483",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Black,2005,122 min,Drama,8.1,NA,"35,427",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
Her Sey Çok Güzel Olacak,1998,107 min,"Comedy,Drama,Thriller",8.1,NA,"26,196",NA,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
Anand,1971,122 min,"Drama,Musical",8.1,NA,"34,355",NA,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Sarfarosh,1999,174 min,"Action,Drama,Thriller",8.1,NA,"26,161",NA,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
Blade Runner 2049,2017,164 min,"Action,Drama,Mystery",8.0,81        ,"597,672",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Dune: Part One,2021,155 min,"Action,Adventure,Drama",8.0,74        ,"664,812",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
The Princess Bride,1987,98 min,"Adventure,Comedy,Family",8.0,77        ,"434,583",$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Guardians of the Galaxy,2014,121 min,"Action,Adventure,Comedy",8.0,76        ,"1,200,897",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Black Swan,2010,108 min,"Drama,Thriller",8.0,79        ,"785,113",$106.95M,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
La La Land,2016,128 min,"Comedy,Drama,Music",8.0,94        ,"611,091",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Donnie Darko,2001,113 min,"Drama,Mystery,Sci-Fi",8.0,88        ,"816,305",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Her,2013,126 min,"Drama,Romance,Sci-Fi",8.0,91        ,"631,857",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The Graduate,1967,106 min,"Comedy,Drama,Romance",8.0,83        ,"278,892",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
Deadpool,2016,108 min,"Action,Comedy",8.0,65        ,"1,061,282",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Zootopia,2016,108 min,"Animation,Adventure,Comedy",8.0,78        ,"513,226",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Dances with Wolves,1990,181 min,"Adventure,Drama,Western",8.0,72        ,"274,762",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
Zack Snyder's Justice League,2021,242 min,"Action,Adventure,Fantasy",8.0,54        ,"409,828",NA,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
The Martian,2015,144 min,"Adventure,Drama,Sci-Fi",8.0,80        ,"874,643",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
The Avengers,2012,143 min,"Action,Sci-Fi",8.0,69        ,"1,410,288",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Sin City,2005,124 min,"Crime,Thriller",8.0,74        ,"777,547",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
CODA,2021,111 min,"Comedy,Drama,Music",8.0,72        ,"144,009",NA,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
Casino Royale,2006,144 min,"Action,Adventure,Thriller",8.0,80        ,"668,697",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Butch Cassidy and the Sundance Kid,1969,110 min,"Biography,Crime,Drama",8.0,66        ,"220,086",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
Life of Brian,1979,94 min,Comedy,8.0,77        ,"407,406",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
